battery,driver,road,traffic,time,speed,soc
healthy,eco,flat,light,0.0,0.08750000000000001,99.99999189814815
healthy,eco,flat,light,0.02,0.17499980859375003,99.99997569446217
healthy,eco,flat,light,0.04,0.2624990429704248,99.99995138899523
healthy,eco,flat,light,0.06,0.3499973203267358,99.99991898183593
healthy,eco,flat,light,0.08,0.4374942578736299,99.99987847310835
healthy,eco,flat,light,0.1,0.524989472842988,99.99982986297198
healthy,eco,flat,light,0.12,0.6124825824943232,99.99977315162175
healthy,eco,flat,light,0.14,0.6999732041214768,99.99970833928803
healthy,eco,flat,light,0.16,0.7874609550593146,99.99963542623664
healthy,eco,flat,light,0.18,0.874945452690421,99.9995544127688
healthy,eco,flat,light,0.2,0.9624263144517914,99.99946529922117
healthy,eco,flat,light,0.22,1.0499031578415225,99.99936808596581
healthy,eco,flat,light,0.24,1.1373756004255013,99.99926277341022
healthy,eco,flat,light,0.26,1.2248432598440901,99.99914936199727
healthy,eco,flat,light,0.28,1.3123057538188105,99.99902785220524
healthy,eco,flat,light,0.3,1.399762700159023,99.99889824454782
healthy,eco,flat,light,0.32,1.4872137167686041,99.99876053957404
healthy,eco,flat,light,0.34,1.5746584216526205,99.99861473786832
healthy,eco,flat,light,0.36,1.6620964329239984,99.99846084005046
healthy,eco,flat,light,0.38,1.74952736881019,99.99829884677557
healthy,eco,flat,light,0.4,1.8369508476598346,99.99812875873413
healthy,eco,flat,light,0.42,1.9243664879494167,99.9979505766519
healthy,eco,flat,light,0.44,2.011773908289918,99.99776430129002
healthy,eco,flat,light,0.46,2.099172727433466,99.99756993344488
healthy,eco,flat,light,0.48,2.186562564279976,99.99736747394819
healthy,eco,flat,light,0.5,2.273943037883788,99.9971569236669
healthy,eco,flat,light,0.52,2.3613137674602998,99.99693828350325
healthy,eco,flat,light,0.54,2.4486743723925897,99.9967115543947
healthy,eco,flat,light,0.56,2.536024472238039,99.99647673731393
healthy,eco,flat,light,0.58,2.6233636867349444,99.99623383326886
healthy,eco,flat,light,0.6,2.7106916358091224,99.99598284330258
healthy,eco,flat,light,0.62,2.7980079395805113,99.99572376849336
healthy,eco,flat,light,0.64,2.8853122183697626,99.99545660995463
healthy,eco,flat,light,0.66,2.9726040927048256,99.99518136883493
healthy,eco,flat,light,0.68,3.0598831833275266,99.99489804631796
healthy,eco,flat,light,0.7000000000000001,3.1471491112001364,99.99460664362248
healthy,eco,flat,light,0.72,3.234401497511933,99.99430716200233
healthy,eco,flat,light,0.74,3.3216399636857554,99.99399960274643
healthy,eco,flat,light,0.76,3.4088641313845467,99.99368396717871
healthy,eco,flat,light,0.78,3.4960736225178906,99.99336025665811
healthy,eco,flat,light,0.8,3.583268059248539,99.99302847257854
healthy,eco,flat,light,0.8200000000000001,3.670447063998928,99.99268861636891
healthy,eco,flat,light,0.84,3.757610259457688,99.99234068949303
healthy,eco,flat,light,0.86,3.844757268586138,99.99198469344965
healthy,eco,flat,light,0.88,3.9318877146247795,99.99162062977237
healthy,eco,flat,light,0.9,4.019001221099769,99.99124850002967
healthy,eco,flat,light,0.92,4.106097411829389,99.99086830582488
healthy,eco,flat,light,0.9400000000000001,4.193175910930504,99.99048004879609
healthy,eco,flat,light,0.96,4.280236342825003,99.99008373061619
healthy,eco,flat,light,0.98,4.367278332246243,99.98967935299284
healthy,eco,flat,light,1.0,4.45430150424546,99.98926691766837
healthy,eco,flat,light,1.02,4.541305484198191,99.98884642641984
